instance_id,n_groups,n_per_group,n_rounds,mzn_has_solution,mzn_time_exceeded,mzn_cost,mzn_duration_seconds,sim_has_solution,sim_time_exceeded,sim_cost,sim_duration_seconds
g1,3,2,2,True,False,0,0.283,True,False,0,0.0002
g2,3,2,3,True,False,0,0.2941,True,False,0,0.0009
g3,3,2,4,True,False,0,0.2994,True,False,0,0.0006
g4,3,2,5,True,True,2,2.1623,True,False,0,0.1413
g5,3,2,6,True,True,7,2.1645,True,True,3,2.0
g6,3,2,7,True,True,18,2.1712,True,True,6,2.0
g7,3,2,8,True,True,45,2.1682,True,True,9,2.0001
g10,3,3,2,True,False,0,0.3331,True,False,0,0.0006
g11,3,3,3,True,False,0,1.2902,True,False,0,0.0404
g8,3,2,9,True,True,58,2.1671,True,True,12,2.0001
g9,3,2,10,True,True,87,2.1712,True,True,19,2.0001
g12,3,3,4,True,True,7,2.1974,True,True,4,2.0
g13,3,3,5,True,True,34,2.2084,True,True,10,2.0
g14,3,3,6,True,True,63,2.2253,True,True,20,2.0001
g15,3,3,7,True,True,134,2.2464,True,True,36,2.0001
g16,3,3,8,True,True,191,2.2986,True,True,50,2.0
g17,3,3,9,True,True,302,2.2687,True,True,77,2.0001
g18,3,3,10,True,True,415,2.2824,True,True,100,2.0001
g19,3,4,2,True,True,6,2.2428,True,True,3,2.0
g20,3,4,3,True,True,36,2.286,True,True,9,2.0
g21,3,4,4,True,True,102,2.3345,True,True,18,2.0
g22,3,4,5,True,True,204,2.3785,True,True,34,2.0001
g23,3,4,6,True,True,342,2.423,True,True,59,2.0
g24,3,4,7,True,True,516,2.4739,True,True,97,2.0
g25,3,4,8,True,True,726,2.5179,True,True,142,2.0001
g26,3,4,9,True,True,972,2.5732,True,True,194,2.0
g27,3,4,10,True,True,1254,2.645,True,True,258,2.0002
g28,3,5,2,True,True,18,2.4007,True,True,6,2.0
g29,3,5,3,True,True,84,2.553,True,True,18,2.0
g30,3,5,4,True,True,210,2.6963,True,True,39,2.0001
g31,3,5,5,True,True,396,2.9774,True,True,73,2.0001
g32,3,5,6,True,True,642,2.9912,True,True,123,2.0001
g33,3,5,7,True,True,948,3.2429,True,True,191,2.0001
g37,4,2,2,True,False,0,0.2817,True,False,0,0.0001
g38,4,2,3,True,False,0,0.2961,True,False,0,0.0006
g39,4,2,4,True,False,0,0.3361,True,False,0,0.0011
g34,3,5,8,True,True,1314,3.3122,True,True,266,2.0002
g40,4,2,5,True,False,0,0.4059,True,False,0,0.056
g41,4,2,6,True,False,0,0.4551,True,False,0,0.3514
g35,3,5,9,True,True,1740,3.33,True,True,375,2.0001
g36,3,5,10,True,True,2226,3.5803,True,True,484,2.0002
g42,4,2,7,True,True,12,2.1867,True,True,2,2.0001
g46,4,3,2,True,False,0,0.4242,True,False,0,0.0005
g43,4,2,8,True,True,16,2.1915,True,True,6,2.0
g47,4,3,3,True,False,0,0.8235,True,False,0,0.0039
g44,4,2,9,True,True,34,2.1861,True,True,9,2.0001
g45,4,2,10,True,True,61,2.3075,True,True,12,2.0
g48,4,3,4,True,True,3,2.2811,True,True,2,2.0001
g49,4,3,5,True,True,36,2.3144,True,True,8,2.0
g50,4,3,6,True,True,88,2.9949,True,True,18,2.0
g51,4,3,7,True,True,164,3.5487,True,True,30,2.0
g55,4,4,2,True,True,12,2.4986,True,False,0,0.0011
g52,4,3,8,True,True,270,4.6489,True,True,46,2.0
g53,4,3,9,True,True,417,4.4911,True,True,60,2.0001
g54,4,3,10,True,True,589,4.5852,True,True,89,2.0
g56,4,4,3,True,True,60,2.5476,True,True,3,2.0
g57,4,4,4,True,True,156,2.7922,True,True,13,2.0
g58,4,4,5,True,True,300,2.7733,True,True,29,2.0001
g59,4,4,6,True,True,492,2.9001,True,True,56,2.0001
g60,4,4,7,True,True,732,2.9992,True,True,87,2.0001
g61,4,4,8,True,True,1020,3.1737,True,True,118,2.0001
g62,4,4,9,True,True,1356,3.463,True,True,176,2.0001
g63,4,4,10,True,True,1740,3.7134,True,True,228,2.0
g64,4,5,2,True,True,28,2.803,True,True,4,2.0
g65,4,5,3,True,True,124,3.0538,True,True,12,2.0001
g66,4,5,4,True,True,300,3.4042,True,True,33,2.0
g67,4,5,5,True,True,556,4.2515,True,True,68,2.0001
g68,4,5,6,True,True,892,5.1654,True,True,109,2.0001
g69,4,5,7,False,True,0,4.4203,True,True,171,2.0002
g73,5,2,2,True,False,0,0.301,True,False,0,0.0001
g74,5,2,3,True,False,0,0.3508,True,False,0,0.0004
g75,5,2,4,True,False,0,0.411,True,False,0,0.0031
g70,4,5,8,False,True,0,4.6016,True,True,252,2.0001
g76,5,2,5,True,False,0,0.5816,True,False,0,0.0014
g77,5,2,6,True,False,0,0.7986,True,False,0,0.0229
g72,4,5,10,False,True,0,2.3721,True,True,444,2.0003
g71,4,5,9,False,True,0,4.8371,True,True,336,2.0002
g78,5,2,7,True,False,0,1.1203,True,True,1,2.0001
g82,5,3,2,True,False,0,0.7163,True,False,0,0.0001
g79,5,2,8,True,True,14,2.226,True,True,3,2.0001
g83,5,3,3,True,False,0,1.8244,True,False,0,0.0133
g80,5,2,9,True,True,41,2.2287,True,True,8,2.0001
g81,5,2,10,True,True,101,2.2506,True,True,11,2.0001
g84,5,3,4,True,True,15,2.7894,True,True,1,2.0
g85,5,3,5,True,True,60,4.3819,True,True,7,2.0001
g86,5,3,6,True,True,159,4.6339,True,True,16,2.0001
g87,5,3,7,True,True,287,4.7593,True,True,26,2.0
g91,5,4,2,True,True,18,2.6204,True,False,0,0.0009
g88,5,3,8,True,True,442,5.0598,True,True,43,2.0001
g89,5,3,9,True,True,636,4.8318,True,True,62,2.0001
g90,5,3,10,True,True,872,5.1371,True,True,84,2.0001
g92,5,4,3,True,True,84,2.8609,True,True,1,2.0
g93,5,4,4,True,True,210,3.1785,True,True,9,2.0001
g94,5,4,5,True,True,396,4.0086,True,True,25,2.0001
g95,5,4,6,True,True,642,4.5826,True,True,50,2.0002
g96,5,4,7,True,True,992,4.6245,True,True,79,2.0001
g97,5,4,8,True,True,1366,5.2307,True,True,108,2.0001
g98,5,4,9,False,True,0,4.4181,True,True,164,2.0001
g100,5,5,2,True,True,38,3.6581,True,False,0,0.0034
g99,5,4,10,False,True,0,4.8237,True,True,210,2.0001
g101,5,5,3,False,True,0,4.0823,True,True,8,2.0
g103,5,5,5,False,True,0,2.3948,True,True,63,2.0003
g102,5,5,4,False,True,0,4.6416,True,True,27,2.0001
g104,5,5,6,False,True,0,2.2769,True,True,99,2.0002
g105,5,5,7,False,True,0,2.3941,True,True,161,2.0002
g109,6,2,2,True,False,0,0.4343,True,False,0,0.0001
g110,6,2,3,True,False,0,0.4996,True,False,0,0.0005
g106,5,5,8,False,True,0,2.4175,True,True,221,2.0002
g111,6,2,4,True,False,0,0.6594,True,False,0,0.0006
g112,6,2,5,True,False,0,0.9205,True,False,0,0.0043
g107,5,5,9,False,True,0,2.4326,True,True,312,2.0006
g108,5,5,10,False,True,0,2.4303,True,True,407,2.0002
g113,6,2,6,True,False,0,1.4062,True,False,0,0.0251
g114,6,2,7,True,True,0,2.4027,True,False,0,0.2722
g118,6,3,2,True,False,0,1.2212,True,False,0,0.0003
g115,6,2,8,True,True,24,3.1111,True,True,2,2.0001
g119,6,3,3,True,True,8,2.4812,True,False,0,0.0012
g116,6,2,9,True,True,54,4.1257,True,True,6,2.0001
g117,6,2,10,True,True,110,4.3809,True,True,10,2.0
g120,6,3,4,True,True,33,4.3224,True,False,0,0.1529
g121,6,3,5,True,True,119,5.072,True,True,6,2.0001
g122,6,3,6,True,True,259,5.0234,True,True,14,2.0001
g123,6,3,7,True,True,436,5.5845,True,True,24,2.0001
g124,6,3,8,True,True,643,5.1421,True,True,41,2.0003
g127,6,4,2,True,True,24,3.0637,True,False,0,0.002
g125,6,3,9,True,True,882,5.6534,True,True,57,2.0001
g126,6,3,10,True,True,1186,5.8401,True,True,78,2.0002
g128,6,4,3,True,True,108,4.071,True,False,0,1.1333
g129,6,4,4,True,True,284,4.6492,True,True,11,2.0001
g132,6,4,7,False,True,0,2.3438,True,True,74,2.0001
g130,6,4,5,False,True,0,4.2926,True,True,25,2.0001
g131,6,4,6,False,True,0,4.609,True,True,45,2.0002
g133,6,4,8,False,True,0,2.4594,True,True,109,2.0
g134,6,4,9,False,True,0,2.4104,True,True,154,2.0001
g135,6,4,10,False,True,0,2.4576,True,True,208,2.0002
g136,6,5,2,False,True,0,4.3819,True,False,0,0.0043
g137,6,5,3,False,True,0,2.4009,True,True,7,2.0001
g138,6,5,4,False,True,0,2.4197,True,True,28,2.0
g139,6,5,5,False,True,0,2.3941,True,True,55,2.0002
g140,6,5,6,False,True,0,2.3948,True,True,99,2.0002
g141,6,5,7,False,True,0,2.4206,True,True,152,2.0002
g145,7,2,2,True,False,0,0.4186,True,False,0,0.0001
g146,7,2,3,True,False,0,0.5594,True,False,0,0.0001
g147,7,2,4,True,False,0,0.8047,True,False,0,0.001
g142,6,5,8,False,True,0,2.4125,True,True,223,2.0002
g143,6,5,9,False,True,0,2.2835,True,True,298,2.0002
g148,7,2,5,True,False,0,1.3608,True,False,0,0.0106
g144,6,5,10,False,True,0,2.395,True,True,401,2.0002
g149,7,2,6,True,True,0,2.2465,True,False,0,0.0037
g150,7,2,7,True,True,0,3.5475,True,False,0,1.2087
g154,7,3,2,True,False,0,1.815,True,False,0,0.0001
g151,7,2,8,True,True,41,4.4714,True,True,2,2.0001
g152,7,2,9,True,True,112,4.424,True,True,6,2.0001
g153,7,2,10,True,True,178,4.609,True,True,10,2.0
g155,7,3,3,True,True,11,3.6078,True,False,0,0.003
g156,7,3,4,True,True,66,5.4066,True,False,0,0.5678
g157,7,3,5,True,True,182,5.307,True,True,6,2.0001
g158,7,3,6,True,True,363,5.5094,True,True,12,2.0001
g159,7,3,7,True,True,580,5.9771,True,True,23,2.0001
g160,7,3,8,True,True,860,5.9346,True,True,37,2.0002
